text,label
I am very happy with this service,positive
I really enjoyed the experience,positive
I am very unhappy with this service,negative
It is fine,neutral
I really enjoyed the experience,positive
It is fine,neutral
I am very happy with this service,positive
I am very unhappy with this service,negative
This is a terrible experience,negative
I really enjoyed the experience,positive
It is fine,neutral
Everything works perfectly,positive
Nothing special about this,neutral
This is absolutely amazing and satisfying,positive
I am not satisfied at all,negative
I am very happy with this service,positive
Average experience,neutral
It works as expected,neutral
This is extremely disappointing and frustrating,negative
It works as expected,neutral
This is extremely disappointing and frustrating,negative
It works as expected,neutral
The service is okay overall,neutral
I am extremely pleased with the results,positive
Everything works perfectly,positive
The service is okay overall,neutral
It works as expected,neutral
This is a terrible experience,negative
It is fine,neutral
I hate how this works,negative
I am very unhappy with this service,negative
This is extremely disappointing and frustrating,negative
I really enjoyed the experience,positive
I am very happy with this service,positive
The service is okay overall,neutral
I hate how this works,negative
The service is okay overall,neutral
Average experience,neutral
I am extremely pleased with the results,positive
This is extremely disappointing and frustrating,negative
I really enjoyed the experience,positive
This is a terrible experience,negative
I am not satisfied at all,negative
This is a terrible experience,negative
This is extremely disappointing and frustrating,negative
Average experience,neutral
I am very happy with this service,positive
I am extremely pleased with the results,positive
Nothing special about this,neutral
Everything works perfectly,positive
It is fine,neutral
The service is okay overall,neutral
Average experience,neutral
I am very unhappy with this service,negative
I really enjoyed the experience,positive
Nothing special about this,neutral
I am very happy with this service,positive
The service is okay overall,neutral
Everything works perfectly,positive
I am extremely pleased with the results,positive
I am not satisfied at all,negative
This is extremely disappointing and frustrating,negative
Everything works perfectly,positive
I really enjoyed the experience,positive
I am very happy with this service,positive
I am very happy with this service,positive
Average experience,neutral
I am not satisfied at all,negative
This is extremely disappointing and frustrating,negative
It works as expected,neutral
I am very unhappy with this service,negative
I hate how this works,negative
I really enjoyed the experience,positive
Everything works perfectly,positive
It is fine,neutral
I hate how this works,negative
Average experience,neutral
I am very unhappy with this service,negative
This is absolutely amazing and satisfying,positive
I am not satisfied at all,negative
I really enjoyed the experience,positive
Nothing special about this,neutral
This is absolutely amazing and satisfying,positive
Nothing special about this,neutral
Average experience,neutral
Average experience,neutral
It works as expected,neutral
This is absolutely amazing and satisfying,positive
I am extremely pleased with the results,positive
Nothing special about this,neutral
I am very happy with this service,positive
I am very happy with this service,positive
This is extremely disappointing and frustrating,negative
Nothing special about this,neutral
It works as expected,neutral
This is absolutely amazing and satisfying,positive
Average experience,neutral
I am extremely pleased with the results,positive
I really enjoyed the experience,positive
Average experience,neutral
I am not satisfied at all,negative
I hate how this works,negative
Everything works perfectly,positive
It is fine,neutral
This is absolutely amazing and satisfying,positive
It is fine,neutral
This is a terrible experience,negative
I really enjoyed the experience,positive
I hate how this works,negative
I hate how this works,negative
It is fine,neutral
This is extremely disappointing and frustrating,negative
Everything works perfectly,positive
I really enjoyed the experience,positive
The service is okay overall,neutral
This is a terrible experience,negative
It is fine,neutral
This is extremely disappointing and frustrating,negative
It works as expected,neutral
